OEM,n_flagged,step,pct
JAGUAR LAND ROVER LIMITED,5654,Step 1: CS Invalid,16.95
FIAT GROUP,5561,Step 1: CS Invalid,16.68
VOLKSWAGEN,4091,Step 1: CS Invalid,12.27
FORD WERKE GMBH,3903,Step 1: CS Invalid,11.7
SKODA,2991,Step 1: CS Invalid,8.97
CHRYSLER,2367,Step 1: CS Invalid,7.1
STELLANTIS EUROPE,1972,Step 1: CS Invalid,5.91
TOYOTA,1506,Step 1: CS Invalid,4.52
RENAULT,1392,Step 1: CS Invalid,4.17
AUDI AG,1312,Step 1: CS Invalid,3.93
VOLVO,550,Step 1: CS Invalid,1.65
MITSUBISHI MOTORS CORPORATION,478,Step 1: CS Invalid,1.43
PSA,398,Step 1: CS Invalid,1.19
OPEL AUTOMOBILE,338,Step 1: CS Invalid,1.01
AUTOMOBILES PEUGEOT,135,Step 1: CS Invalid,0.4
TOYOTA MOTOR CORPORATION,135,Step 1: CS Invalid,0.4
KIA SLOVAKIA,126,Step 1: CS Invalid,0.38
GEELY,109,Step 1: CS Invalid,0.33
ALFA ROMEO,87,Step 1: CS Invalid,0.26
KIA,80,Step 1: CS Invalid,0.24
SEAT,40,Step 1: CS Invalid,0.12
MERCEDES-BENZ AG,37,Step 1: CS Invalid,0.11
BMW AG,30,Step 1: CS Invalid,0.09
HYUNDAI CZECH,25,Step 1: CS Invalid,0.07
STELLANTIS AUTO,15,Step 1: CS Invalid,0.04
SAIC MOTOR CORPORATION,10,Step 1: CS Invalid,0.03
HYUNDAI,2,Step 1: CS Invalid,0.01
MAZDA,2,Step 1: CS Invalid,0.01
FERRARI,1,Step 1: CS Invalid,0
SUZUKI MOTOR CORPORATION,1,Step 1: CS Invalid,0
FORD WERKE GMBH,3720,Step 2: Missing RW_EC,29.63
STELLANTIS AUTO,3352,Step 2: Missing RW_EC,26.7
SKODA,2603,Step 2: Missing RW_EC,20.73
BMW AG,597,Step 2: Missing RW_EC,4.76
HYUNDAI CZECH,590,Step 2: Missing RW_EC,4.7
SAIC MOTOR CORPORATION,425,Step 2: Missing RW_EC,3.39
PSA,376,Step 2: Missing RW_EC,3
TOYOTA,327,Step 2: Missing RW_EC,2.6
HYUNDAI,177,Step 2: Missing RW_EC,1.41
JAGUAR LAND ROVER LIMITED,62,Step 2: Missing RW_EC,0.49
VOLKSWAGEN,56,Step 2: Missing RW_EC,0.45
AUTOMOBILES PEUGEOT,49,Step 2: Missing RW_EC,0.39
MITSUBISHI MOTORS CORPORATION,46,Step 2: Missing RW_EC,0.37
TOYOTA MOTOR CORPORATION,43,Step 2: Missing RW_EC,0.34
VOLVO,42,Step 2: Missing RW_EC,0.33
SEAT,27,Step 2: Missing RW_EC,0.22
KIA SLOVAKIA,16,Step 2: Missing RW_EC,0.13
OPEL AUTOMOBILE,14,Step 2: Missing RW_EC,0.11
AUDI AG,10,Step 2: Missing RW_EC,0.08
GEELY,9,Step 2: Missing RW_EC,0.07
RENAULT,9,Step 2: Missing RW_EC,0.07
FERRARI,3,Step 2: Missing RW_EC,0.02
MERCEDES-BENZ AG,1,Step 2: Missing RW_EC,0.01
FORD WERKE GMBH,2595,Step 3: Missing OEM/Model,45.11
VOLVO,1270,Step 3: Missing OEM/Model,22.08
STELLANTIS AUTO,533,Step 3: Missing OEM/Model,9.26
AUTOMOBILES PEUGEOT,484,Step 3: Missing OEM/Model,8.41
AUDI AG,276,Step 3: Missing OEM/Model,4.8
SKODA,234,Step 3: Missing OEM/Model,4.07
VOLKSWAGEN,119,Step 3: Missing OEM/Model,2.07
SEAT,117,Step 3: Missing OEM/Model,2.03
OPEL AUTOMOBILE,65,Step 3: Missing OEM/Model,1.13
PORSCHE,22,Step 3: Missing OEM/Model,0.38
HYUNDAI CZECH,20,Step 3: Missing OEM/Model,0.35
HYUNDAI,14,Step 3: Missing OEM/Model,0.24
CHRYSLER,4,Step 3: Missing OEM/Model,0.07
PORSCHE,11052,Step 4: RW_EC Zero,58.85
VOLVO,1582,Step 4: RW_EC Zero,8.42
MERCEDES-BENZ AG,1144,Step 4: RW_EC Zero,6.09
RENAULT,576,Step 4: RW_EC Zero,3.07
FORD WERKE GMBH,556,Step 4: RW_EC Zero,2.96
CHRYSLER,543,Step 4: RW_EC Zero,2.89
STELLANTIS EUROPE,455,Step 4: RW_EC Zero,2.42
JAGUAR LAND ROVER LIMITED,417,Step 4: RW_EC Zero,2.22
VOLKSWAGEN,406,Step 4: RW_EC Zero,2.16
STELLANTIS AUTO,310,Step 4: RW_EC Zero,1.65
BMW AG,302,Step 4: RW_EC Zero,1.61
FIAT GROUP,203,Step 4: RW_EC Zero,1.08
TOYOTA MOTOR CORPORATION,160,Step 4: RW_EC Zero,0.85
SAIC MOTOR CORPORATION,158,Step 4: RW_EC Zero,0.84
KIA,116,Step 4: RW_EC Zero,0.62
PSA,114,Step 4: RW_EC Zero,0.61
FERRARI,113,Step 4: RW_EC Zero,0.6
AUDI AG,93,Step 4: RW_EC Zero,0.5
SUZUKI MOTOR CORPORATION,68,Step 4: RW_EC Zero,0.36
AUTOMOBILES PEUGEOT,62,Step 4: RW_EC Zero,0.33
TOYOTA,62,Step 4: RW_EC Zero,0.33
KIA SLOVAKIA,55,Step 4: RW_EC Zero,0.29
SEAT,54,Step 4: RW_EC Zero,0.29
SKODA,52,Step 4: RW_EC Zero,0.28
MAZDA,43,Step 4: RW_EC Zero,0.23
OPEL AUTOMOBILE,40,Step 4: RW_EC Zero,0.21
ALFA ROMEO,24,Step 4: RW_EC Zero,0.13
HYUNDAI,9,Step 4: RW_EC Zero,0.05
BENTLEY,5,Step 4: RW_EC Zero,0.03
HYUNDAI CZECH,3,Step 4: RW_EC Zero,0.02
GEELY,1,Step 4: RW_EC Zero,0.01
MITSUBISHI MOTORS CORPORATION,1,Step 4: RW_EC Zero,0.01
AUTOMOBILES PEUGEOT,7301,Step 5: VFN Issue,22.56
PSA,4785,Step 5: VFN Issue,14.79
STELLANTIS AUTO,3254,Step 5: VFN Issue,10.05
OPEL AUTOMOBILE,2815,Step 5: VFN Issue,8.7
MERCEDES-BENZ AG,2573,Step 5: VFN Issue,7.95
VOLVO,2367,Step 5: VFN Issue,7.31
AUDI AG,2279,Step 5: VFN Issue,7.04
PORSCHE,1512,Step 5: VFN Issue,4.67
BMW AG,1058,Step 5: VFN Issue,3.27
VOLKSWAGEN,999,Step 5: VFN Issue,3.09
FERRARI,670,Step 5: VFN Issue,2.07
HYUNDAI CZECH,653,Step 5: VFN Issue,2.02
SEAT,489,Step 5: VFN Issue,1.51
JAGUAR LAND ROVER LIMITED,239,Step 5: VFN Issue,0.74
HYUNDAI,227,Step 5: VFN Issue,0.7
STELLANTIS EUROPE,225,Step 5: VFN Issue,0.7
FORD WERKE GMBH,181,Step 5: VFN Issue,0.56
GEELY,178,Step 5: VFN Issue,0.55
BENTLEY,135,Step 5: VFN Issue,0.42
CHRYSLER,125,Step 5: VFN Issue,0.39
TOYOTA MOTOR CORPORATION,120,Step 5: VFN Issue,0.37
MAZDA,83,Step 5: VFN Issue,0.26
ALFA ROMEO,68,Step 5: VFN Issue,0.21
SKODA,17,Step 5: VFN Issue,0.05
TOYOTA,7,Step 5: VFN Issue,0.02
MITSUBISHI MOTORS CORPORATION,3,Step 5: VFN Issue,0.01
MERCEDES-BENZ AG,280,Step 6: Physics CO2/FC,66.67
JAGUAR LAND ROVER LIMITED,99,Step 6: Physics CO2/FC,23.57
FERRARI,14,Step 6: Physics CO2/FC,3.33
VOLVO,9,Step 6: Physics CO2/FC,2.14
BMW AG,8,Step 6: Physics CO2/FC,1.9
PORSCHE,5,Step 6: Physics CO2/FC,1.19
FORD WERKE GMBH,2,Step 6: Physics CO2/FC,0.48
VOLKSWAGEN,2,Step 6: Physics CO2/FC,0.48
AUDI AG,1,Step 6: Physics CO2/FC,0.24
FIAT GROUP,1305,Step 8: EDS/Energy Violation,37.22
STELLANTIS EUROPE,1285,Step 8: EDS/Energy Violation,36.65
PSA,360,Step 8: EDS/Energy Violation,10.27
OPEL AUTOMOBILE,317,Step 8: EDS/Energy Violation,9.04
AUTOMOBILES PEUGEOT,122,Step 8: EDS/Energy Violation,3.48
CHRYSLER,60,Step 8: EDS/Energy Violation,1.71
ALFA ROMEO,25,Step 8: EDS/Energy Violation,0.71
KIA,20,Step 8: EDS/Energy Violation,0.57
FORD WERKE GMBH,11,Step 8: EDS/Energy Violation,0.31
RENAULT,1,Step 8: EDS/Energy Violation,0.03
