OEM,Model,n_flagged,step,pct
FIAT GROUP,COMPASS,5553,Step 1: CS Invalid,16.65
FORD WERKE GMBH,KUGA,3584,Step 1: CS Invalid,10.75
JAGUAR LAND ROVER LIMITED,RANGE ROVER EVOQUE,3004,Step 1: CS Invalid,9.01
CHRYSLER,RENEGADE,2219,Step 1: CS Invalid,6.65
VOLKSWAGEN,PASSAT,1999,Step 1: CS Invalid,5.99
STELLANTIS EUROPE,COMPASS,1951,Step 1: CS Invalid,5.85
JAGUAR LAND ROVER LIMITED,DISCOVERY SPORT,1501,Step 1: CS Invalid,4.5
TOYOTA,TOYOTA RAV4,1486,Step 1: CS Invalid,4.46
SKODA,SUPERB,1413,Step 1: CS Invalid,4.24
SKODA,OCTAVIA,1235,Step 1: CS Invalid,3.7
VOLKSWAGEN,TIGUAN,826,Step 1: CS Invalid,2.48
RENAULT,CAPTUR,722,Step 1: CS Invalid,2.17
VOLKSWAGEN,GOLF GTE,619,Step 1: CS Invalid,1.86
RENAULT,MEGANE,519,Step 1: CS Invalid,1.56
JAGUAR LAND ROVER LIMITED,JAGUAR E-PACE,477,Step 1: CS Invalid,1.43
MITSUBISHI MOTORS CORPORATION,MITSUBISHI ECLIPSE CROSS,447,Step 1: CS Invalid,1.34
VOLKSWAGEN,ARTEON,375,Step 1: CS Invalid,1.12
SKODA,OCTAVIA RS,321,Step 1: CS Invalid,0.96
OPEL AUTOMOBILE,GRANDLAND X,320,Step 1: CS Invalid,0.96
AUDI AG,A3 40 TFSIE,262,Step 1: CS Invalid,0.79
JAGUAR LAND ROVER LIMITED,RANGE ROVER VELAR,240,Step 1: CS Invalid,0.72
AUDI AG,Q3 SPORTBACK E-TRON,233,Step 1: CS Invalid,0.7
AUDI AG,Q3 E-TRON,207,Step 1: CS Invalid,0.62
VOLVO,XC60,196,Step 1: CS Invalid,0.59
PSA,508,187,Step 1: CS Invalid,0.56
VOLKSWAGEN,GOLF,187,Step 1: CS Invalid,0.56
FORD WERKE GMBH,EXPLORER,156,Step 1: CS Invalid,0.47
JAGUAR LAND ROVER LIMITED,E-PACE,143,Step 1: CS Invalid,0.43
CHRYSLER,WRANGLER UNLIMITED,139,Step 1: CS Invalid,0.42
PSA,C5 AIRCROSS,138,Step 1: CS Invalid,0.41
FORD WERKE GMBH,KUGA,3357,Step 2: Missing RW_EC,26.74
STELLANTIS AUTO,308,1307,Step 2: Missing RW_EC,10.41
SKODA,SUPERB,1296,Step 2: Missing RW_EC,10.32
SKODA,OCTAVIA,1037,Step 2: Missing RW_EC,8.26
STELLANTIS AUTO,C5 X,799,Step 2: Missing RW_EC,6.36
STELLANTIS AUTO,DS4,484,Step 2: Missing RW_EC,3.86
HYUNDAI CZECH,TUCSON,329,Step 2: Missing RW_EC,2.62
TOYOTA,TOYOTA RAV4,324,Step 2: Missing RW_EC,2.58
BMW AG,X1 XDRIVE25E,320,Step 2: Missing RW_EC,2.55
STELLANTIS AUTO,ASTRA,317,Step 2: Missing RW_EC,2.53
SAIC MOTOR CORPORATION,MG EHS PLUG-IN HYBRID,300,Step 2: Missing RW_EC,2.39
SKODA,OCTAVIA RS,249,Step 2: Missing RW_EC,1.98
PSA,308,243,Step 2: Missing RW_EC,1.94
BMW AG,COUNTRYMAN COOPER SE ALL4,196,Step 2: Missing RW_EC,1.56
FORD WERKE GMBH,EXPLORER,187,Step 2: Missing RW_EC,1.49
HYUNDAI CZECH,TUCSONIX35,163,Step 2: Missing RW_EC,1.3
FORD WERKE GMBH,NA,130,Step 2: Missing RW_EC,1.04
STELLANTIS AUTO,NA,113,Step 2: Missing RW_EC,0.9
HYUNDAI,SANTAFE,83,Step 2: Missing RW_EC,0.66
SAIC MOTOR CORPORATION,MG RX6 PLUG-IN HYBRID,62,Step 2: Missing RW_EC,0.49
STELLANTIS AUTO,NUEVO CITRO?N C5 X PLUG-IN HYBRID 225 ? EAT8 SHINE,61,Step 2: Missing RW_EC,0.49
BMW AG,X2 XDRIVE25E,55,Step 2: Missing RW_EC,0.44
PSA,DS 4,54,Step 2: Missing RW_EC,0.43
MITSUBISHI MOTORS CORPORATION,MITSUBISHI ECLIPSE CROSS,46,Step 2: Missing RW_EC,0.37
TOYOTA MOTOR CORPORATION,LEXUS NX450H+,42,Step 2: Missing RW_EC,0.33
AUTOMOBILES PEUGEOT,3008,41,Step 2: Missing RW_EC,0.33
HYUNDAI,SANTA FE,39,Step 2: Missing RW_EC,0.31
VOLKSWAGEN,GOLF GTE,38,Step 2: Missing RW_EC,0.3
HYUNDAI CZECH,TUCSON IX35,37,Step 2: Missing RW_EC,0.29
STELLANTIS AUTO,NUEVO 308 5P GT PACK HYBRID 225 EEAT8,37,Step 2: Missing RW_EC,0.29
FORD WERKE GMBH,NA,2595,Step 3: Missing OEM/Model,45.11
VOLVO,NA,1270,Step 3: Missing OEM/Model,22.08
STELLANTIS AUTO,NA,533,Step 3: Missing OEM/Model,9.26
AUTOMOBILES PEUGEOT,NA,484,Step 3: Missing OEM/Model,8.41
AUDI AG,NA,276,Step 3: Missing OEM/Model,4.8
SKODA,NA,234,Step 3: Missing OEM/Model,4.07
VOLKSWAGEN,NA,119,Step 3: Missing OEM/Model,2.07
SEAT,NA,117,Step 3: Missing OEM/Model,2.03
OPEL AUTOMOBILE,NA,65,Step 3: Missing OEM/Model,1.13
PORSCHE,NA,22,Step 3: Missing OEM/Model,0.38
HYUNDAI CZECH,NA,20,Step 3: Missing OEM/Model,0.35
HYUNDAI,NA,14,Step 3: Missing OEM/Model,0.24
CHRYSLER,NA,4,Step 3: Missing OEM/Model,0.07
PORSCHE,CAYENNE E-HYBRID,7685,Step 4: RW_EC Zero,40.92
VOLVO,XC40,1104,Step 4: RW_EC Zero,5.88
PORSCHE,PANAMERA 4 E-HYBRID,1036,Step 4: RW_EC Zero,5.52
PORSCHE,PANAMERA 4S E-HYBRID,852,Step 4: RW_EC Zero,4.54
PORSCHE,CAYENNE TURBO S E-HYBRID,541,Step 4: RW_EC Zero,2.88
FORD WERKE GMBH,KUGA,489,Step 4: RW_EC Zero,2.6
CHRYSLER,RENEGADE,464,Step 4: RW_EC Zero,2.47
PORSCHE,PANAMERA 4,457,Step 4: RW_EC Zero,2.43
